add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市大同區南京西路３４４巷３５號九樓之３,111/05/28,668,44,15.18,華廈(10層含以下有電梯),29,九層/九層,房地(土地+建物),2房0廳2衛,0,住家用,121.512335,25.0528661
臺北市大同區酒泉街７６號二樓之１,111/05/28,2250,58.5,38.46,華廈(10層含以下有電梯),40,二層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.5150285,25.0719214
臺北市大同區華亭街１號九樓之５,111/05/27,4788,59.2,80.95,住宅大樓(11層含以上有電梯),1,九層/二十一層,房地(土地+建物)+車位,4房2廳3衛,0,住家用,121.5133706,25.0522164
臺北市大同區大龍街３０６號三樓,111/05/26,200,35.3,5.66,華廈(10層含以下有電梯),26,"三層,電梯樓梯間/六層",房地(土地+建物),3房2廳2衛,0,住家用,121.5157773,25.0716957
臺北市大同區重慶北路三段３１２巷１８號七樓之１,111/05/26,2400,60.1,39.92,華廈(10層含以下有電梯),19,七層/八層,房地(土地+建物),3房2廳2衛,0,住家用,121.5130747,25.0740007
臺北市大同區哈密街５９巷３８弄４９號十三樓之５,111/05/26,800,22.7,35.22,住宅大樓(11層含以上有電梯),3,十三層/十三層,建物,2房1廳1衛,0,住家用,121.514619,25.0750422
臺北市大同區重慶北路三段８３號十五樓之１,111/05/26,5458,71,80.62,住宅大樓(11層含以上有電梯),13,十五層/十五層,房地(土地+建物)+車位,3房2廳2衛,250,住家用,121.5139059,25.0667907
臺北市大同區哈密街５９巷３８弄５０號九樓,111/05/26,2150,45.6,47.17,住宅大樓(11層含以上有電梯),3,九層/十三層,建物,3房2廳2衛,0,住家用,121.5143483,25.0749631
臺北市大同區伊寧街９巷５號三樓,111/05/24,2450,61.2,40.02,華廈(10層含以下有電梯),24,三層/六層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5131147,25.0651015
臺北市大同區民族西路３１５號六樓,111/05/24,1660,56.5,29.37,華廈(10層含以下有電梯),40,六層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.5097213,25.0688909
臺北市大同區延平北路二段２４７巷２５號四樓,111/05/23,1539,69,22.32,華廈(10層含以下有電梯),14,四層/七層,房地(土地+建物)+車位,2房1廳1衛,0,住家用,121.5132362,25.0624563
