"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市南港區成功路一段９４巷２弄９號五樓","111/05/14",860,35.3,24.37,"公寓(5樓含以下無電梯)",40,"五層/五層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.5919862,25.057832
"臺北市南港區南深路３３號六樓之１５","111/05/13",486,49.1,9.91,"華廈(10層含以下有電梯)",23,"六層/十層","房地(土地+建物)","1房2廳1衛",0,"住家用",121.620535,25.03637
"臺北市南港區玉成街１４０巷１４號三樓","111/05/12",3440,81.7,42.1,"華廈(10層含以下有電梯)",33,"三層/七層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.582604,25.044269
"臺北市南港區玉成街８３號三樓之１","111/05/12",5980,89.2,76.5,"住宅大樓(11層含以上有電梯)",17,"三層/十七層","房地(土地+建物)+車位","4房2廳2衛",250,"住家用",121.5819063,25.0482095
"臺北市南港區研究院路二段１８２巷７９弄２１號二樓","111/05/11",1100,37.3,29.49,"公寓(5樓含以下無電梯)",38,"二層/五層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.613962,25.0372458
"臺北市南港區南港路二段２１２巷１弄１０號二樓","111/05/11",1000,37.2,26.9,"公寓(5樓含以下無電梯)",53,"二層/五層","房地(土地+建物)","3房1廳1衛",0,"住家用",121.5993355,25.0537693
"臺北市南港區南深路１５號三樓","111/05/09",1888,52.7,35.46,"華廈(10層含以下有電梯)",12,"三層/九層","房地(土地+建物)+車位","3房2廳2衛",150,"住家用",121.6215209,25.0385657
"臺北市南港區研究院路二段１８２巷７９弄５號","111/05/08",1366,44.3,30.84,"公寓(5樓含以下無電梯)",38,"一層/五層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.6141445,25.0369365
"臺北市南港區中南街６４號四樓","111/05/07",1300,70.2,18.52,"公寓(5樓含以下無電梯)",44,"四層/四層","房地(土地+建物)","2房1廳2衛",0,"住家用",121.6151715,25.0536475
"臺北市南港區福德街３７３巷３９號十七樓","111/05/07",2238,57.8,38.74,"住宅大樓(11層含以上有電梯)",24,"十七層/十九層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.5917153,25.0391982
"臺北市南港區南深路３３號五樓之１２","111/05/06",420,40.8,10.3,"華廈(10層含以下有電梯)",23,"五層/十層","房地(土地+建物)","1房0廳1衛",0,"住家用",121.620535,25.03637
"臺北市南港區富康街５３巷１號四樓","111/05/06",1380,60.3,22.88,"公寓(5樓含以下無電梯)",45,"四層/四層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.6173939,25.0525306
"臺北市南港區經貿二路２３５巷３７號九樓","111/05/05",8500,93.7,90.73,"住宅大樓(11層含以上有電梯)",7,"九層/二十一層","房地(土地+建物)+車位","3房2廳2衛",0,"住家用",121.6161242,25.061246
"臺北市南港區經貿二路２３３號十六樓","111/05/05",9588,93.8,107.95,"住宅大樓(11層含以上有電梯)",7,"十六層/十八層","房地(土地+建物)+車位","3房2廳3衛",300,"住家用",121.615139,25.060786
"臺北市南港區研究院路二段１８２巷７９弄２９號二樓","111/05/03",1120,36.8,30.43,"公寓(5樓含以下無電梯)",38,"二層/五層","房地(土地+建物)+車位","3房2廳1衛",0,"住家用",121.61363,25.0371869
"臺北市南港區福德街４２１號二樓","111/05/02",2580,56.2,45.94,"住宅大樓(11層含以上有電梯)",24,"二層/十二層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.5919801,25.0398675
"臺北市南港區重陽路１６６巷４弄３號二樓","111/05/02",1906,65.8,28.99,"公寓(5樓含以下無電梯)",37,"二層/五層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.6008816,25.0569663
"臺北市南港區園區街８號十一樓之６","111/05/02",2508,84.3,29.75,"住宅大樓(11層含以上有電梯)",13,"十一層/十四層","房地(土地+建物)+車位","2房2廳1衛",0,"住家用",121.6137038,25.0593961
"臺北市南港區八德路四段８７１號九樓","111/05/02",790,58.6,13.49,"住宅大樓(11層含以上有電梯)",26,"九層/十六層","房地(土地+建物)","1房1廳1衛",0,"住家用",121.5803042,25.0509127
"臺北市南港區向陽路１９６巷８號四樓之２","111/05/02",3027,84.7,48.8,"住宅大樓(11層含以上有電梯)",13,"四層/十二層","房地(土地+建物)+車位","2房2廳1衛",430,"住家用",121.5940015,25.056385
"臺北市南港區成福路６５之１號五樓","111/05/02",1750,50.8,34.45,"公寓(5樓含以下無電梯)",33,"五層/五層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.5867771,25.0435706
"臺北市南港區昆陽街１５７巷１號三樓","111/04/29",430,23,18.71,"公寓(5樓含以下無電梯)",48,"三層/三層","建物","3房1廳1衛",0,"住家用",121.5944295,25.049709
"臺北市南港區向陽路１６２巷１０９號二樓","111/04/29",6050,84,90.1,"華廈(10層含以下有電梯)",9,"二層/九層","房地(土地+建物)+車位","3房2廳2衛",500,"住家用",121.5972006,25.0570344
"臺北市南港區重陽路４９９號九樓之２","111/04/29",1100,80.8,13.61,"華廈(10層含以下有電梯)",16,"九層/九層","房地(土地+建物)","1房1廳1衛",0,"住家用",121.612619,25.061722
"臺北市南港區忠孝東路六段１３０號七樓之２","111/04/28",1100,102.9,10.69,"住宅大樓(11層含以上有電梯)",11,"七層/十四層","房地(土地+建物)+車位","1房1廳1衛",0,"住家用",121.58538,25.0479614
"臺北市南港區富康街４９巷８號四樓","111/04/28",1600,66.2,24.17,"公寓(5樓含以下無電梯)",45,"四層,陽臺/四層","房地(土地+建物)","5房3廳3衛",0,"住家用",121.617449,25.0526735
"臺北市南港區忠孝東路六段７０巷２１弄１３號二樓","111/04/27",1000,32.6,30.69,"華廈(10層含以下有電梯)",38,"二層/七層","房地(土地+建物)","3房1廳1衛",0,"住家用",121.5852088,25.0464441
"臺北市南港區舊莊街一段９１巷１６弄６號九樓","111/04/26",2035,46.5,43.77,"華廈(10層含以下有電梯)",22,"九層/九層","房地(土地+建物)+車位","3房2廳2衛",0,"住家用",121.6199922,25.0410967
"臺北市南港區昆陽街１４０巷５３號三樓","111/04/26",1800,71.4,25.21,"公寓(5樓含以下無電梯)",46,"三層,陽台/四層","房地(土地+建物)","1房2廳1衛",0,"住家用",121.592135,25.0495325
"臺北市南港區重陽路１４號二樓","111/04/26",364,25.6,14.2,"公寓(5樓含以下無電梯)",41,"二層/五層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.5958972,25.0551027
"臺北市南港區中坡南路３１巷８號三樓之３","111/04/24",1360,98.4,13.83,"華廈(10層含以下有電梯)",2,"三層/六層","房地(土地+建物)","1房1廳1衛",0,"住家用",121.5835026,25.0435364
"臺北市南港區東明街８０號五樓","111/04/24",1780,68.7,25.91,"公寓(5樓含以下無電梯)",41,"五層/五層","房地(土地+建物)","2房2廳1衛",0,"住家用",121.6021613,25.0546279
"臺北市南港區富康街８２號四樓","111/04/24",1928,68.7,28.05,"公寓(5樓含以下無電梯)",47,"四層,陽臺/四層","房地(土地+建物)","6房0廳3衛",0,"住家用",121.6169907,25.0521166
"臺北市南港區園區街３２號三樓","111/04/24",5220,88.7,75.33,"住宅大樓(11層含以上有電梯)",9,"三層/十一層","房地(土地+建物)+車位","4房2廳2衛",500,"住家用",121.612185,25.059321
"臺北市南港區重陽路４６２號十三樓之３","111/04/22",5400,76.5,70.54,"住宅大樓(11層含以上有電梯)",12,"十三層/十五層","房地(土地+建物)+車位","3房2廳2衛",0,"住家用",121.6109742,25.059608
"臺北市南港區經貿二路１８５巷５２號五樓","111/04/22",4500,79.5,56.61,"住宅大樓(11層含以上有電梯)",12,"五層/十一層","房地(土地+建物)+車位","3房2廳2衛",0,"住家用",121.6159703,25.0602151
"臺北市南港區市民大道七段２６號二樓","111/04/21",1000,37.9,26.35,"公寓(5樓含以下無電梯)",38,"二層/五層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.5813884,25.0487854
"臺北市南港區昆陽街１５２巷２號二樓","111/04/20",1668,62.2,26.8,"公寓(5樓含以下無電梯)",45,"二層/四層","房地(土地+建物)","4房0廳4衛",0,"住家用",121.5939587,25.0490417
"臺北市南港區富康街１１號五樓","111/04/20",834.8,20.9,39.99,"公寓(5樓含以下無電梯)",41,"五層/五層","房地(土地+建物)","4房2廳2衛",0,"住家用",121.617442,25.054073
"臺北市南港區研究院路三段２巷１０號五樓","111/04/17",2320,43.4,53.48,"華廈(10層含以下有電梯)",18,"五層/九層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.6160907,25.0365282
"臺北市南港區市民大道七段４７號四樓","111/04/16",1050,50.7,20.69,"公寓(5樓含以下無電梯)",42,"四層/五層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.5828594,25.0496969
"臺北市南港區向陽路２５８巷３號八樓","111/04/15",2380,54,44.09,"住宅大樓(11層含以上有電梯)",16,"八層/十五層","房地(土地+建物)+車位","2房1廳1衛",0,"住家用",121.5929925,25.0582935
"臺北市南港區玉成街４６號五樓之１","111/04/15",1970,90.2,21.84,"華廈(10層含以下有電梯)",28,"五層/七層","房地(土地+建物)+車位","2房1廳1衛",0,"住家用",121.5814357,25.0483935
"臺北市南港區東明街１巷１號三樓","111/04/15",1800,61.2,29.43,"公寓(5樓含以下無電梯)",46,"三層/四層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.605209,25.0564457
