"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市松山區民權東路三段１７０號十二樓之１","111/05/05",3286.2,70.2,46.81,"住宅大樓(11層含以上有電梯)",40,"十二層/十二層","房地(土地+建物)+車位","9房0廳0衛","86","住家用",121.548913,25.0615339
"臺北市松山區八德路三段１９９巷１９號四樓之３","111/05/03",1586,77.8,20.39,"華廈(10層含以下有電梯)",38,"四層/七層","房地(土地+建物)","2房2廳2衛","0","住家用",121.5564981,25.0495005
"臺北市松山區光復南路１７巷４５號三樓","111/05/03",1950,68,28.69,"公寓(5樓含以下無電梯)",52,"三層,露台/四層","房地(土地+建物)","3房1廳1衛","0","住家用",121.5597068,25.0473053
"臺北市松山區撫遠街４０１巷５號四樓","111/05/02",1500,54.8,27.38,"公寓(5樓含以下無電梯)",47,"四層,陽台/四層","房地(土地+建物)","3房2廳1衛","0","住家用",121.5660367,25.0658415
"臺北市松山區撫遠街３５０號三樓之２","111/05/02",1016,60.7,16.73,"華廈(10層含以下有電梯)",42,"三層/七層","房地(土地+建物)","2房2廳2衛","0","住家用",121.5659881,25.0625734
"臺北市松山區三民路１０２巷１之１號四樓","111/05/01",2665,72.6,36.73,"公寓(5樓含以下無電梯)",48,"四層,陽台/四層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5641857,25.0575501
"臺北市松山區三民路４３巷１７號四樓之１","111/05/01",5400,73.1,73.85,"住宅大樓(11層含以上有電梯)",18,"四層/十二層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5609803,25.0558247
"臺北市松山區延壽街３３０巷１５號二樓之１","111/05/01",3050,78.9,38.65,"華廈(10層含以下有電梯)",30,"二層/七層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5605487,25.0549062
"臺北市松山區八德路三段１９９巷２１號七樓之５","111/05/01",990,86,11.51,"華廈(10層含以下有電梯)",38,"七層/七層","房地(土地+建物)","1房1廳1衛","0","住家用",121.5564291,25.0493114
"臺北市松山區寶清街１０號五樓之４","111/04/29",1150,81.4,17.64,"華廈(10層含以下有電梯)",26,"五層/五層","房地(土地+建物)+車位","2房1廳1衛","180","住家用",121.5686983,25.0500945
"臺北市松山區敦化北路１０號十七樓","111/04/29",21290,204.1,121.89,"住宅大樓(11層含以上有電梯)",3,"十七層/二十三層","房地(土地+建物)+車位","3房2廳3衛","700","住家用",121.5485866,25.050307
"臺北市松山區八德路四段６３６號十樓之１","111/04/28",1880,97.4,19.3,"住宅大樓(11層含以上有電梯)",8,"十層/十三層","房地(土地+建物)+車位","1房1廳1衛","0","住家用",121.5746776,25.0498065
