amount,price,area,age,car,add,date,type,floor.height,subject,pattern,k
1380,48.4,28.53,46,0,臺北市中山區龍江路４５９號四樓,111/08/25,公寓(5樓含以下無電梯),四層/四層,房地(土地+建物),3房2廳1衛,4
1000,46.8,21.37,44,0,臺北市中山區合江街５８巷２５號五樓,111/08/25,公寓(5樓含以下無電梯),五層/五層,房地(土地+建物),2房1廳1衛,4
500,43.7,11.45,38,0,臺北市中山區錦州街５０號十樓之３,111/08/24,住宅大樓(11層含以上有電梯),十層/十三層,房地(土地+建物),1房1廳1衛,4
855,53.9,15.85,28,0,臺北市中山區中山北路一段８３巷１８號四樓之２,111/08/21,華廈(10層含以下有電梯),四層/五層,房地(土地+建物),1房0廳1衛,4
1050,47,22.35,41,0,臺北市中山區龍江路３７０巷４８號二樓之１,111/08/17,公寓(5樓含以下無電梯),二層/五層,房地(土地+建物),2房2廳1衛,4
520,51.5,10.1,43,0,臺北市中山區新生北路二段１３３巷１８號三樓之３,111/08/17,華廈(10層含以下有電梯),三層/六層,房地(土地+建物),1房1廳1衛,4
925,63.7,14.51,41,0,臺北市中山區新生北路三段２６號四樓之５,111/08/16,住宅大樓(11層含以上有電梯),四層/十二層,房地(土地+建物),2房1廳1衛,4
1050,33.7,31.12,48,0,臺北市中山區民生東路二段１１５巷３１號五樓,111/08/16,公寓(5樓含以下無電梯),五層/五層,房地(土地+建物),3房2廳1衛,4
625,54.6,11.45,38,0,臺北市中山區錦州街５０號十樓之２,111/08/16,住宅大樓(11層含以上有電梯),十層/十三層,房地(土地+建物),1房1廳1衛,4
2000,55.7,35.93,50,0,臺北市中山區天祥路２２號二樓,111/08/15,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),4房2廳1衛,4
800,58.7,13.63,42,0,臺北市中山區民生東路二段８３號七樓之３９,111/08/14,華廈(10層含以下有電梯),七層/七層,房地(土地+建物),1房1廳1衛,4
1470,64.5,22.8,42,0,臺北市中山區松江路４５巷４１號四樓,111/08/14,公寓(5樓含以下無電梯),四層/五層,房地(土地+建物),2房2廳1衛,4
680,61.2,11.12,42,0,臺北市中山區新生北路三段１號八樓之６,111/08/13,住宅大樓(11層含以上有電梯),八層/十四層,房地(土地+建物),1房1廳1衛,4
1250,41.1,30.45,43,0,臺北市中山區吉林路２５４號四樓,111/08/12,華廈(10層含以下有電梯),四層/七層,房地(土地+建物),3房2廳1衛,4
500,51.1,9.79,40,0,臺北市中山區新生北路二段９６號八樓之１９,111/08/10,住宅大樓(11層含以上有電梯),八層/十二層,房地(土地+建物),1房1廳1衛,4
1880,58,32.43,34,0,臺北市中山區新生北路一段５４號十樓之２,111/08/08,住宅大樓(11層含以上有電梯),十層/十四層,房地(土地+建物)+車位,2房1廳1衛,4
1288,61.5,20.94,40,0,臺北市中山區林森北路１００號六樓之９,111/08/06,住宅大樓(11層含以上有電梯),六層/十二層,房地(土地+建物),1房2廳1衛,4
2080,56,37.14,42,0,臺北市中山區建國北路三段１１３巷７弄３號二樓,111/08/05,公寓(5樓含以下無電梯),二層/五層,房地(土地+建物),4房2廳2衛,4
428,46.3,9.25,40,0,臺北市中山區林森北路４０９號七樓之２１,111/08/05,住宅大樓(11層含以上有電梯),七層/十二層,房地(土地+建物),1房1廳1衛,4
1500,41.9,35.84,38,0,臺北市中山區龍江路３９４巷６１號五樓,111/08/05,公寓(5樓含以下無電梯),五層/五層,房地(土地+建物),3房2廳2衛,4
1250,56.1,22.29,54,0,臺北市中山區吉林路４５６巷３５號四樓,111/08/04,公寓(5樓含以下無電梯),四層/四層,房地(土地+建物),2房1廳1衛,4
1440,54.6,26.39,49,0,臺北市中山區林森北路６７巷７２號三樓,111/08/04,公寓(5樓含以下無電梯),三層/四層,房地(土地+建物),3房2廳2衛,4
700,59,11.86,44,0,臺北市中山區長安東路一段５３巷１之５號六樓之３,111/07/28,華廈(10層含以下有電梯),六層/七層,房地(土地+建物),1房1廳1衛,4
2200,57.6,38.18,49,0,臺北市中山區林森北路８５巷５６號五樓之１,111/07/28,華廈(10層含以下有電梯),五層/七層,房地(土地+建物),3房2廳2衛,4
1080,61.3,17.61,44,0,臺北市中山區長安東路一段５３巷１之５號五樓之１,111/07/27,華廈(10層含以下有電梯),五層/七層,房地(土地+建物),2房1廳1衛,4
1670,53.2,31.39,49,0,臺北市中山區雙城街４９巷１０之３號四樓,111/07/26,公寓(5樓含以下無電梯),四層/四層,房地(土地+建物),3房2廳2衛,4
1415,59,23.97,56,0,臺北市中山區新生北路三段８８巷１２號二樓,111/07/26,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),2房1廳1衛,4
500,49.1,10.18,53,0,臺北市中山區撫順街４１巷１之１０號二樓,111/07/26,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),2房2廳1衛,4
100,55.2,1.81,54,0,臺北市中山區民權東路二段９２巷７弄２２號三樓,111/07/25,公寓(5樓含以下無電梯),"三層,四層/四層",房地(土地+建物),3房1廳2衛,4
40,30.5,1.31,54,0,臺北市中山區民權東路二段９２巷７弄２２號,111/07/25,公寓(5樓含以下無電梯),一層/四層,房地(土地+建物),3房1廳1衛,4
520,62.6,8.3,43,0,臺北市中山區德惠街３４號九樓之２３,111/07/25,住宅大樓(11層含以上有電梯),九層/十一層,房地(土地+建物),1房1廳1衛,4
535,54.7,9.78,40,0,臺北市中山區新生北路二段９６號十一樓之２４,111/07/24,住宅大樓(11層含以上有電梯),十一層/十二層,房地(土地+建物),未知,4
1208,44.9,26.89,46,0,臺北市中山區民族東路４１０巷３１號三樓,111/07/24,公寓(5樓含以下無電梯),三層/四層,房地(土地+建物),3房2廳1衛,4
1108.2,43.8,25.28,53,0,臺北市中山區錦州街１７０號,111/07/20,公寓(5樓含以下無電梯),"一層,騎樓/四層",房地(土地+建物),3房1廳1衛,4
1108.2,43.8,25.28,53,0,臺北市中山區錦州街１７０號二樓,111/07/20,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),3房1廳1衛,4
1321.6,46.4,28.48,49,0,臺北市中山區吉林路１９９巷１５號一樓,111/07/20,公寓(5樓含以下無電梯),一層/四層,房地(土地+建物),3房1廳2衛,4
470,50.1,9.38,38,0,臺北市中山區錦州街５０號六樓之２７,111/07/20,住宅大樓(11層含以上有電梯),六層/十三層,房地(土地+建物),0房0廳1衛,4
603,52.7,11.45,38,0,臺北市中山區錦州街５０號五樓之１４,111/07/18,住宅大樓(11層含以上有電梯),五層/十三層,房地(土地+建物),1房1廳1衛,4
357,47.5,7.51,46,0,臺北市中山區新生北路二段７２巷１７號八樓之４,111/07/17,華廈(10層含以下有電梯),八層/十層,房地(土地+建物),1房0廳1衛,4
580,59.7,9.72,43,0,臺北市中山區德惠街４５號五樓之１９,111/07/17,華廈(10層含以下有電梯),五層/九層,房地(土地+建物),1房0廳1衛,4
650,57.7,11.26,40,0,臺北市中山區錦州街２１號八樓之８,111/07/13,住宅大樓(11層含以上有電梯),八層/十一層,房地(土地+建物),1房1廳1衛,4
560,57.2,9.79,43,0,臺北市中山區中山北路二段７７巷３７號十二樓,111/07/07,住宅大樓(11層含以上有電梯),十二層/十二層,房地(土地+建物),未知,4
650,42.9,15.16,30,0,臺北市中山區建國北路三段２２巷１７號四樓,111/07/07,華廈(10層含以下有電梯),四層/五層,房地(土地+建物),1房1廳1衛,4
450,35.7,12.6,54,0,臺北市中山區長安西路１９巷２弄１９之１號四樓,111/07/07,公寓(5樓含以下無電梯),四層/四層,房地(土地+建物),3房2廳1衛,4
