"add","date","amount","price","area","type","age","floor.height","subject","pattern","car","use","section","lon","lat"
"臺北市北投區崗山路５巷５號四樓","111/03/12",1380,33.9,43.22,"公寓(5樓含以下無電梯)",33,"四層/五層","房地(土地+建物)+車位","3房2廳2衛","200","住家用","北投區",121.4866155,25.1401386
"臺北市北投區立農街二段２０２巷２弄４號三樓","111/03/12",1482,62.4,23.77,"公寓(5樓含以下無電梯)",44,"三層/五層","房地(土地+建物)","2房2廳1衛","0","住家用","北投區",121.5140783,25.1185912
"臺北市北投區石牌路一段７１巷１２號","111/03/12",1600,55.7,28.73,"公寓(5樓含以下無電梯)",45,"四層/四層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.5110853,25.1143289
"臺北市北投區泉源路３４號十樓之１","111/03/11",790,58.3,13.56,"華廈(10層含以下有電梯)",24,"十層/十層","房地(土地+建物)","2房1廳1衛","0","住家用","北投區",121.5065383,25.1402898
"臺北市北投區石牌路二段３１５巷１０弄７號八樓之１","111/03/11",2790,73,43.38,"華廈(10層含以下有電梯)",15,"八層/十層","房地(土地+建物)+車位","3房2廳2衛","250","住家用","北投區",121.5224826,25.1226939
"臺北市北投區泉源路４８號六樓","111/03/11",840,43.8,27.52,"住宅大樓(11層含以上有電梯)",22,"六層/十三層","房地(土地+建物)+車位","1房2廳1衛","180","住家用","北投區",121.5087461,25.141287
"臺北市北投區崗山路１１巷７號四樓","111/03/10",951,34.1,27.85,"公寓(5樓含以下無電梯)",38,"四層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.4863322,25.1407292
"臺北市北投區稻香路１３５巷１２號四樓","111/03/10",1000,25.5,39.2,"公寓(5樓含以下無電梯)",31,"四層,五層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.4894875,25.1421766
"臺北市北投區中和街５０７巷３弄６號二樓","111/03/10",1195,44.1,27.09,"華廈(10層含以下有電梯)",6,"二層/七層","房地(土地+建物)+車位","1房1廳1衛","0","住家用","北投區",121.4943859,25.1444837
"臺北市北投區中央北路四段５４１巷６號二樓","111/03/10",150,5.3,28.21,"公寓(5樓含以下無電梯)",37,"二層/五層","房地(土地+建物)","2房2廳1衛","0","住家用","北投區",121.467807,25.1274552
"臺北市北投區中央北路四段５４１巷８號二樓","111/03/10",300,10,29.99,"公寓(5樓含以下無電梯)",44,"二層/四層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.4678839,25.1274802
"臺北市北投區復興一路５７號","111/03/10",3200,37.6,85.19,"公寓(5樓含以下無電梯)",33,"一層/四層","房地(土地+建物)","4房3廳3衛","0","住家用","北投區",121.5032064,25.141935
"臺北市北投區泉源路３９之２９號二樓","111/03/10",400,30.8,13,"公寓(5樓含以下無電梯)",40,"二層/七層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5071767,25.141508
"臺北市北投區泉源路３４號八樓","111/03/10",1300,43.4,29.97,"華廈(10層含以下有電梯)",24,"八層/十層","房地(土地+建物)+車位","3房2廳2衛","70","住家用","北投區",121.5065383,25.1402898
"臺北市北投區公舘路３０１巷５號二樓","111/03/09",1680,39.9,42.15,"公寓(5樓含以下無電梯)",36,"二層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5064608,25.124272
"臺北市北投區大度路三段２９５號十一樓之１","111/03/09",3217,58.4,62.95,"住宅大樓(11層含以上有電梯)",13,"十一層/十四層","房地(土地+建物)+車位","4房2廳2衛","250","住家用","北投區",121.4667692,25.1229253
"臺北市北投區中和街４０號八樓之３１","111/03/09",620,39.5,15.69,"華廈(10層含以下有電梯)",42,"八層/八層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5028006,25.1381929
"臺北市北投區石牌路二段３１５巷２８弄１０號三樓","111/03/08",1500,40.4,37.09,"公寓(5樓含以下無電梯)",41,"三層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5228618,25.1231215
"臺北市北投區大度路三段２７０巷６９號十九樓之２","111/03/08",2688,44.4,60.51,"住宅大樓(11層含以上有電梯)",10,"十九層/十九層","房地(土地+建物)+車位","2房2廳2衛","0","住家用","北投區",121.4672638,25.1251237
"臺北市北投區石牌路二段３１５巷３４弄２２號三樓","111/03/08",1250,72.7,17.19,"華廈(10層含以下有電梯)",3,"三層/七層","房地(土地+建物)+車位","1房1廳1衛","0","住家用","北投區",121.5233789,25.1230603
"臺北市北投區溫泉路３７巷２６號十三樓之２","111/03/08",800,57.1,14,"住宅大樓(11層含以上有電梯)",16,"十三層/十三層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5028382,25.1349081
"臺北市北投區奇岩路２３３號四樓","111/03/08",5850,52.5,111.7,"華廈(10層含以下有電梯)",7,"四層,五層/五層","房地(土地+建物)+車位","3房2廳3衛","230","住家用","北投區",121.5097224,25.1278513
"臺北市北投區義理街９６號四樓","111/03/08",1200,43.8,27.4,"公寓(5樓含以下無電梯)",47,"四層/四層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.5163779,25.1184532
"臺北市北投區泉源路３９之４１號三樓","111/03/07",770,39.4,19.53,"住宅大樓(11層含以上有電梯)",37,"三層/十一層","房地(土地+建物)","2房1廳1衛","0","住家用","北投區",121.5071767,25.141508
"臺北市北投區崗山路１８號四樓之２","111/03/07",1200,50.6,24.08,"華廈(10層含以下有電梯)",13,"四層/七層","房地(土地+建物)+車位","2房2廳1衛","120","住家用","北投區",121.486924,25.14133
"臺北市北投區光明路２０７號十樓","111/03/07",3800,73.3,55.23,"住宅大樓(11層含以上有電梯)",5,"十層/二十四層","房地(土地+建物)+車位","3房2廳3衛","250","住家用","北投區",121.5037974,25.1361695
"臺北市北投區同德街４４巷１號五樓","111/03/07",1358,46.2,29.42,"公寓(5樓含以下無電梯)",37,"五層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5283248,25.1241758
"臺北市北投區石牌路二段３１５巷１０弄７號八樓","111/03/07",2850,73.1,52.32,"華廈(10層含以下有電梯)",15,"八層/十層","房地(土地+建物)+車位","3房2廳2衛","280","住家用","北投區",121.5224826,25.1226939
"臺北市北投區承德路七段２１２號六樓","111/03/07",3980,49.5,80.42,"住宅大樓(11層含以上有電梯)",14,"六層/十五層","房地(土地+建物)+車位","2房1廳1衛","0","住家用","北投區",121.506941,25.11504
"臺北市北投區承德路七段２１２號六樓之１","111/03/07",3578,57.2,62.56,"住宅大樓(11層含以上有電梯)",14,"六層/十五層","房地(土地+建物)+車位","3房1廳3衛","0","住家用","北投區",121.506941,25.11504
"臺北市北投區幽雅路７號十三樓之１０","111/03/07",1225,41.3,29.67,"住宅大樓(11層含以上有電梯)",13,"十三層/十三層","房地(土地+建物)","0房1廳1衛","0","住家用","北投區",121.5134154,25.1372467
"臺北市北投區溫泉路７８號六樓之１","111/03/06",1169,30,38.98,"華廈(10層含以下有電梯)",45,"六層/七層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5054149,25.1353006
"臺北市北投區文化三路２２號三樓","111/03/06",2200,52.2,42.13,"華廈(10層含以下有電梯)",27,"三層/九層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.4982219,25.1376234
"臺北市北投區中央北路三段２２０巷２１號二樓","111/03/06",3125,44.2,78.85,"華廈(10層含以下有電梯)",11,"二層/五層","房地(土地+建物)+車位","2房2廳2衛","360","住家用","北投區",121.4806879,25.136442
"臺北市北投區泉源路３６之２２號八樓之５","111/03/06",716,39.4,18.2,"住宅大樓(11層含以上有電梯)",32,"八層/十一層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5071755,25.1415041
"臺北市北投區中和街５２５巷７號五樓之７","111/03/05",580,35.4,16.36,"華廈(10層含以下有電梯)",27,"五層/六層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.4934987,25.1446001
"臺北市北投區石牌路二段３１５巷１０弄７號二樓","111/03/05",2860,65.4,43.74,"華廈(10層含以下有電梯)",15,"二層/十層","房地(土地+建物)+車位","3房2廳2衛","250","住家用","北投區",121.5224826,25.1226939
"臺北市北投區懷德街９８巷１６號四樓","111/03/05",1370,65.5,20.91,"公寓(5樓含以下無電梯)",49,"四層/四層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5206604,25.1146977
"臺北市北投區行義路１５８巷１９號五樓","111/03/05",1200,35,34.28,"公寓(5樓含以下無電梯)",35,"五層/五層","房地(土地+建物)","3房3廳3衛","0","住家用","北投區",121.5291995,25.130863
"臺北市北投區知行路２９２巷１５弄６號四樓","111/03/05",1518,55.7,27.24,"公寓(5樓含以下無電梯)",37,"四層/五層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.4690122,25.1219331
"臺北市北投區知行路３１６巷２２弄７號","111/03/04",1780,70,25.42,"公寓(5樓含以下無電梯)",37,"一層/五層","房地(土地+建物)","3房1廳1衛","0","住家用","北投區",121.468835,25.1220679
"臺北市北投區杏林三路１０巷１５號五樓","111/03/04",785,35.3,22.22,"公寓(5樓含以下無電梯)",40,"五層/五層","房地(土地+建物)","8房1廳5衛","0","住家用","北投區",121.4978549,25.1416367
"臺北市北投區稻香路１６０號二樓","111/03/04",3520,42.1,90.51,"華廈(10層含以下有電梯)",5,"二層/五層","房地(土地+建物)+車位","4房2廳3衛","360","住家用","北投區",121.489046,25.1431633
"臺北市北投區石牌路二段３１５巷２號三樓之１","111/03/04",880,72.2,12.19,"華廈(10層含以下有電梯)",27,"三層/六層","房地(土地+建物)","0房1廳1衛","0","住家用","北投區",121.5230309,25.1220676
"臺北市北投區大同街１１４巷２號","111/03/03",1031.3,0,28.94,"透天厝",53,"全/二層","房地(土地+建物)","2房2廳2衛","0","住家用","北投區",121.498662,25.134503
